date,year,month,fare_class,index_value
2000-01-01,2000,1,Business,90.2350689946168
2000-02-01,2000,2,Business,90.2350689946168
2000-03-01,2000,3,Business,90.2350689946168
2000-04-01,2000,4,Business,89.59236907300271
2000-05-01,2000,5,Business,92.72347018629966
2000-06-01,2000,6,Business,92.75486513100954
2000-07-01,2000,7,Business,96.03878631009916
2000-08-01,2000,8,Business,96.03878631009916
2000-09-01,2000,9,Business,96.04735592448802
2000-10-01,2000,10,Business,95.78457246094634
2000-11-01,2000,11,Business,95.79856327155196
2000-12-01,2000,12,Business,95.8167886150911
2001-01-01,2001,1,Business,95.01765915893272
2001-02-01,2001,2,Business,94.97283494541922
2001-03-01,2001,3,Business,94.99090038050656
2001-04-01,2001,4,Business,95.79948058312029
2001-05-01,2001,5,Business,95.86371923086529
2001-06-01,2001,6,Business,95.8804813912096
2001-07-01,2001,7,Business,97.462086139475
2001-08-01,2001,8,Business,97.45348646119518
2001-09-01,2001,9,Business,97.61069253666456
2001-10-01,2001,10,Business,96.74707582252796
2001-11-01,2001,11,Business,96.74565698421507
2001-12-01,2001,12,Business,96.74565698421507
2002-01-01,2002,1,Business,95.93257351538202
2002-02-01,2002,2,Business,96.21901202547431
2002-03-01,2002,3,Business,96.68825413035796
2002-04-01,2002,4,Business,95.97380607370212
2002-05-01,2002,5,Business,96.00189335815784
2002-06-01,2002,6,Business,96.0269353522434
2002-07-01,2002,7,Business,95.69562450796388
2002-08-01,2002,8,Business,96.8431844651276
2002-09-01,2002,9,Business,96.62150323112462
2002-10-01,2002,10,Business,95.87085048322896
2002-11-01,2002,11,Business,98.86161027221507
2002-12-01,2002,12,Business,99.77172933910256
2003-01-01,2003,1,Business,98.38728545934374
2003-02-01,2003,2,Business,95.23722182949012
2003-03-01,2003,3,Business,99.73221915080174
2003-04-01,2003,4,Business,100.71338286814452
2003-05-01,2003,5,Business,100.49507492400708
2003-06-01,2003,6,Business,100.48445376037148
2003-07-01,2003,7,Business,100.0
2003-08-01,2003,8,Business,98.90725930209037
2003-09-01,2003,9,Business,103.5200615955042
2003-10-01,2003,10,Business,102.994673202248
2003-11-01,2003,11,Business,103.39519731046944
2003-12-01,2003,12,Business,103.18836612645768
2004-01-01,2004,1,Business,102.12287493764782
2004-02-01,2004,2,Business,102.11478459724162
2004-03-01,2004,3,Business,102.11343185697112
2004-04-01,2004,4,Business,102.23574031299871
2004-05-01,2004,5,Business,102.0095825772638
2004-06-01,2004,6,Business,101.48421895912875
2004-07-01,2004,7,Business,102.78001574748882
2004-08-01,2004,8,Business,102.81640577252882
2004-09-01,2004,9,Business,107.195887999393
2004-10-01,2004,10,Business,106.44222077192411
2004-11-01,2004,11,Business,106.7104581582347
