year,month_num,pax_millions
2000,1.0,2.41758
2000,2.0,2.309273
2000,3.0,2.593685
2000,4.0,2.541902
2000,5.0,2.48549
2000,6.0,2.559007
2000,7.0,2.596821
2000,8.0,2.705771
2000,9.0,2.912855
2000,10.0,2.886889
2000,11.0,2.749314
2000,12.0,2.783443
2001,1.0,2.903118
2001,2.0,2.399036
2001,3.0,2.833823
2001,4.0,2.893609
2001,5.0,2.725366
2001,6.0,2.676447
2001,7.0,2.95049
2001,8.0,2.829594
2001,9.0,2.380737
2001,10.0,2.328993
2001,11.0,2.357194
2001,12.0,2.432735
2002,1.0,2.505887
2002,2.0,2.293874
2002,3.0,2.505625
2002,4.0,2.375846
2002,5.0,2.365082
2002,6.0,2.278465
2002,7.0,2.616483
2002,8.0,2.572086
2002,9.0,2.613209
2002,10.0,2.806912
2002,11.0,2.590527
2002,12.0,2.638435
2003,1.0,2.643804
2003,2.0,2.384557
2003,3.0,2.657434
2003,4.0,2.613337
2003,5.0,2.580696
2003,6.0,2.556733
2003,7.0,2.869521
2003,8.0,2.817409
2003,9.0,2.910751
2003,10.0,3.121897
2003,11.0,2.961384
2003,12.0,3.00812
2004,1.0,2.982896
2004,2.0,2.737677
2004,3.0,3.046649
2004,4.0,2.998899
2004,5.0,2.965304
2004,6.0,3.055232
2004,7.0,3.357033
2004,8.0,3.340474
2004,9.0,3.358098
2004,10.0,3.485504
2004,11.0,3.266487
2004,12.0,3.253256
2005,1.0,3.224117
2005,2.0,2.998597
2005,3.0,3.431022
2005,4.0,3.361307
2005,5.0,3.224849
2005,6.0,3.198875
2005,7.0,3.562232
2005,8.0,3.493274
2005,9.0,3.592668
2005,10.0,3.67916
2005,11.0,3.487058
2005,12.0,3.495537
2006,1.0,3.467288
2006,2.0,3.086973
2006,3.0,3.522339
2006,4.0,3.538619
2006,5.0,3.461491
2006,6.0,3.437357
2006,7.0,3.838743
2006,8.0,3.752411
2006,9.0,3.841599
2006,10.0,4.032893
2006,11.0,3.879024
2006,12.0,3.815424
2007,1.0,3.742628
2007,2.0,3.377232
2007,3.0,3.874096
2007,4.0,3.807269
2007,5.0,3.716367
2007,6.0,3.64798
2007,7.0,4.080033
2007,8.0,4.038193
2007,9.0,3.986077
2007,10.0,4.290991
2007,11.0,4.101301
2007,12.0,4.08313
2008,1.0,4.072325
2008,2.0,3.860797
2008,3.0,4.261647
2008,4.0,4.091754
2008,5.0,4.017542
2008,6.0,3.908223
2008,7.0,4.365292
2008,8.0,4.199095
2008,9.0,4.192824
2008,10.0,4.530367
2008,11.0,4.168012
2008,12.0,4.189052
2009,1.0,4.181887
2009,2.0,3.64256
2009,3.0,4.186275
2009,4.0,4.16564
2009,5.0,3.966359
2009,6.0,3.82056
2009,7.0,4.309181
2009,8.0,4.227079
2009,9.0,4.288827
2009,10.0,4.528667
2009,11.0,4.293995
2009,12.0,4.236786
2010,1.0,4.111954
2010,2.0,3.936413
2010,3.0,4.437097
2010,4.0,4.379741
2010,5.0,4.181922
2010,6.0,4.188135
2010,7.0,4.669544
2010,8.0,4.555347
2010,9.0,4.650486
2010,10.0,4.868384
2010,11.0,4.63233
2010,12.0,4.725766
2011,1.0,4.416102
2011,2.0,3.950265
2011,3.0,4.569424
2011,4.0,4.559389
2011,5.0,4.413242
2011,6.0,4.12823
2011,7.0,4.720554
2011,8.0,4.587637
2011,9.0,4.584225
2011,10.0,4.728306
2011,11.0,4.613799
2011,12.0,4.589045
2012,1.0,4.505242
2012,2.0,4.152962
2012,3.0,4.688396
2012,4.0,4.564724
2012,5.0,4.498038
2012,6.0,4.392917
2012,7.0,4.878548
2012,8.0,4.792468
2012,9.0,4.823792
2012,10.0,5.075808
2012,11.0,4.933635
2012,12.0,4.777548
2013,1.0,4.661337
2013,2.0,4.159135
2013,3.0,4.758132
2013,4.0,4.763619
2013,5.0,4.540831
2013,6.0,4.470657
2013,7.0,5.090145
2013,8.0,4.879152
2013,9.0,4.821881
2013,10.0,5.213755
2013,11.0,4.838839
2013,12.0,4.957501
2014,1.0,4.821428
2014,2.0,4.235836
2014,3.0,4.777127
2014,4.0,4.78939
2014,5.0,4.561383
2014,6.0,4.478786
2014,7.0,5.032014
2014,8.0,4.827472
2014,9.0,4.837983
2014,10.0,5.273686
2014,11.0,4.799714
2014,12.0,4.917995
2015,1.0,4.65729
2015,2.0,4.208401
2015,3.0,4.821678
2015,4.0,4.749558
2015,5.0,4.529595
