year,month,month_num,pax_tob,departures,pax_lf,seat_km
2000,Jan,1.0,2417580,46320,75.81994447837566,3366731.831
2000,Feb,2.0,2309273,45871,73.40198379234212,3086315.271
2000,Mar,3.0,2593685,50400,76.00726327153107,3370151.301
2000,Apr,4.0,2541902,47936,78.87765589766055,3288771.77
2000,May,5.0,2485490,50984,72.71246166653131,3408646.66
2000,Jun,6.0,2559007,50583,75.90228291359082,3404954.98
2000,Jul,7.0,2596821,51801,75.00321295294818,3546822.871
2000,Aug,8.0,2705771,53116,75.20838099046554,3621393.071
2000,Sep,9.0,2912855,51541,80.75017202356996,3685618.489
2000,Oct,10.0,2886889,53691,77.48489618476823,3811478.366
2000,Nov,11.0,2749314,52127,75.8547415373463,3623040.492
2000,Dec,12.0,2783443,51494,76.09368042161225,3748678.859
2001,Jan,1.0,2903118,50819,80.0641743924602,3789737.786
2001,Feb,2.0,2399036,47966,69.55744904984931,3445972.536
2001,Mar,3.0,2833823,54166,72.83442165346851,3905459.153
2001,Apr,4.0,2893609,51824,78.43145253203525,3785509.563
2001,May,5.0,2725366,52923,70.94757761935988,3889298.855
2001,Jun,6.0,2676447,48870,73.39341398462366,3792036.789
2001,Jul,7.0,2950490,49879,76.85460253784113,4018280.129
2001,Aug,8.0,2829594,50611,74.0033150761333,3981240.089
2001,Sep,9.0,2380737,38495,80.29408480274807,3100599.662
2001,Oct,10.0,2328993,38548,80.59705106426988,3004494.167
2001,Nov,11.0,2357194,39859,74.47454758044653,3276501.565
2001,Dec,12.0,2432735,39967,75.03251760884993,3466923.891
2002,Jan,1.0,2505887,39227,78.23981534328219,3490290.565
2002,Feb,2.0,2293874,37123,75.16214872380819,3204786.401
2002,Mar,3.0,2505625,38889,81.38820245100547,3228153.629
2002,Apr,4.0,2375846,38199,78.88101486424452,3190827.086
2002,May,5.0,2365082,39751,75.42333243539953,3268277.267
2002,Jun,6.0,2278465,38148,73.83560368222923,3271111.405
2002,Jul,7.0,2616483,41669,79.3852025862772,3623636.779
2002,Aug,8.0,2572086,41566,76.7880960732473,3636631.651
2002,Sep,9.0,2613209,41303,77.7464976044833,3649863.269
2002,Oct,10.0,2806912,42712,80.71641949285282,3782151.389
2002,Nov,11.0,2590527,40119,77.35050858812743,3564053.017
2002,Dec,12.0,2638435,40005,77.43003396423552,3739825.969
2003,Jan,1.0,2643804,38983,78.35317496055573,3768485.778
2003,Feb,2.0,2384557,36770,76.1724562317292,3310779.473
2003,Mar,3.0,2657434,40344,76.51919183642346,3718588.176
2003,Apr,4.0,2613337,38308,78.39122986570229,3643149.046
2003,May,5.0,2580696,39779,75.21928867227653,3726770.478
2003,Jun,6.0,2556733,38473,77.43864895742948,3618946.691
2003,Jul,7.0,2869521,40636,83.754694644075,3852614.748
2003,Aug,8.0,2817409,40065,81.13640918389846,3810255.11
2003,Sep,9.0,2910751,40751,80.75843116442474,3984282.189
2003,Oct,10.0,3121897,42368,81.8907455107563,4216925.448
2003,Nov,11.0,2961384,40736,78.99751755987546,4072757.244
2003,Dec,12.0,3008120,40874,78.42166592759757,4278637.025
2004,Jan,1.0,2982896,40201,80.69759638223186,4219195.304
2004,Feb,2.0,2737677,39684,77.27231751787814,3815141.494
2004,Mar,3.0,3046649,43506,78.33197044550985,4227600.321
2004,Apr,4.0,2998899,41603,78.54232296919484,4263881.881
2004,May,5.0,2965304,42649,72.73244962517734,4484494.992
2004,Jun,6.0,3055232,43109,75.44901056641837,4475042.572
2004,Jul,7.0,3357033,45090,80.88542627513209,4728398.781
2004,Aug,8.0,3340474,45825,78.3090372370076,4768157.819
2004,Sep,9.0,3358098,45293,79.63004168016394,4715769.119
2004,Oct,10.0,3485504,46046,81.16380933286594,4842138.382
