route,year,annual_pax,avg_load_factor,distance_km
ABX-SYD,2014,118453.0,67.14999999999999,452.0
ABX-SYD,2015,216965.0,64.60833333333333,452.0
ABX-SYD,2016,225142.0,65.74166666666666,452.0
ABX-SYD,2017,224025.0,67.24166666666666,452.0
ABX-SYD,2018,226340.0,70.77499999999999,452.0
ABX-SYD,2019,230149.0,70.16666666666667,452.0
ABX-SYD,2020,40351.0,61.699999999999996,452.0
ABX-SYD,2021,50040.0,54.67999999999999,452.0
ABX-SYD,2022,137155.0,65.22,452.0
ABX-SYD,2023,165706.0,66.13333333333334,452.0
ABX-SYD,2024,161310.0,69.68333333333334,452.0
ABX-SYD,2025,155808.0,73.85000000000001,452.0
ABX-SYD,2026,38601.0,72.73333333333333,452.0
ADL-ASP,2015,93680.0,69.75555555555556,1316.0
ADL-ASP,2016,120714.0,66.83333333333333,1316.0
ADL-ASP,2017,124466.0,68.39166666666667,1316.0
ADL-ASP,2018,130294.0,70.8,1316.0
ADL-ASP,2019,144629.0,73.90833333333333,1316.0
ADL-ASP,2020,33665.0,56.8,1316.0
ADL-ASP,2021,53653.0,58.416666666666664,1316.0
ADL-ASP,2022,84687.0,71.14444444444445,1316.0
ADL-ASP,2023,116520.0,71.40833333333333,1316.0
ADL-ASP,2024,107367.0,66.96666666666667,1316.0
ADL-ASP,2025,103510.0,71.89166666666667,1316.0
ADL-ASP,2026,22540.0,72.60000000000001,1316.0
ADL-BNE,2014,408221.0,78.60000000000001,1622.0
ADL-BNE,2015,792810.0,75.41666666666667,1622.0
ADL-BNE,2016,830335.0,74.85000000000001,1622.0
ADL-BNE,2017,849643.0,76.46666666666667,1622.0
ADL-BNE,2018,846516.0,78.20833333333333,1622.0
ADL-BNE,2019,875306.0,78.52499999999999,1622.0
ADL-BNE,2020,360358.0,71.51111111111112,1622.0
ADL-BNE,2021,451446.0,58.59166666666667,1622.0
ADL-BNE,2022,713245.0,80.60833333333333,1622.0
ADL-BNE,2023,819184.0,81.35000000000001,1622.0
ADL-BNE,2024,875326.0,81.56666666666666,1622.0
ADL-BNE,2025,874879.0,84.22500000000001,1622.0
ADL-BNE,2026,220918.0,79.46666666666665,1622.0
ADL-CBR,2014,90587.0,65.39999999999999,972.0
ADL-CBR,2015,169998.0,67.94166666666666,972.0
ADL-CBR,2016,174046.0,67.95833333333333,972.0
ADL-CBR,2017,181576.0,64.03333333333333,972.0
ADL-CBR,2018,195185.0,68.09166666666667,972.0
ADL-CBR,2019,195443.0,66.425,972.0
ADL-CBR,2020,56057.0,60.17999999999999,972.0
ADL-CBR,2021,80380.0,60.77142857142858,972.0
ADL-CBR,2022,140966.0,74.17,972.0
ADL-CBR,2023,193410.0,62.38333333333333,972.0
ADL-CBR,2024,186144.0,71.16666666666667,972.0
ADL-CBR,2025,196554.0,71.23333333333333,972.0
ADL-CBR,2026,44525.0,67.0,972.0
ADL-CNS,2021,49618.0,61.5,2131.0
ADL-CNS,2022,84537.0,88.33333333333333,2131.0
ADL-CNS,2023,135054.0,81.42,2131.0
ADL-DRW,2021,40207.0,68.3,2619.0
ADL-DRW,2023,188943.0,74.55,2619.0
ADL-HBA,2021,28741.0,52.25,1172.0
ADL-HBA,2022,49973.0,73.52000000000001,1172.0
ADL-MEL,2014,1163052.0,78.96666666666667,643.0
ADL-MEL,2015,2310950.0,77.91666666666667,643.0
ADL-MEL,2016,2393883.0,79.03333333333333,643.0
ADL-MEL,2017,2456426.0,80.425,643.0
ADL-MEL,2018,2498204.0,81.0,643.0
ADL-MEL,2019,2538061.0,81.14999999999999,643.0
ADL-MEL,2020,614056.0,39.891666666666666,643.0
ADL-MEL,2021,640972.0,48.63333333333333,643.0
ADL-MEL,2022,1964681.0,78.3,643.0
ADL-MEL,2023,2283969.0,81.90833333333333,643.0
ADL-MEL,2024,2331114.0,83.95,643.0
ADL-MEL,2025,2395818.0,83.89999999999999,643.0
ADL-MEL,2026,589168.0,83.16666666666667,643.0
