city_a,city_b,year,month,pax,trips,load_factor,distance_km,pax_clean,route
ADL,MEL,2014,7,196327,1646.0,77.9,643.0,196327.0,ADL-MEL
ADL,MEL,2014,8,193133,1613.0,78.1,643.0,193133.0,ADL-MEL
ADL,MEL,2014,9,185150,1582.0,74.2,643.0,185150.0,ADL-MEL
ADL,MEL,2014,10,207283,1634.0,82.5,643.0,207283.0,ADL-MEL
ADL,MEL,2014,11,187550,1523.0,81.6,643.0,187550.0,ADL-MEL
ADL,MEL,2014,12,193609,1582.0,79.5,643.0,193609.0,ADL-MEL
ADL,MEL,2015,1,177599,1520.0,75.2,643.0,177599.0,ADL-MEL
ADL,MEL,2015,2,174781,1441.0,80.0,643.0,174781.0,ADL-MEL
ADL,MEL,2015,3,200299,1620.0,80.5,643.0,200299.0,ADL-MEL
ADL,MEL,2015,4,205005,1616.0,80.3,643.0,205005.0,ADL-MEL
ADL,MEL,2015,5,186943,1611.0,74.9,643.0,186943.0,ADL-MEL
ADL,MEL,2015,6,175225,1555.0,71.7,643.0,175225.0,ADL-MEL
ADL,MEL,2015,7,202394,1652.0,77.7,643.0,202394.0,ADL-MEL
ADL,MEL,2015,8,194278,1600.0,77.3,643.0,194278.0,ADL-MEL
ADL,MEL,2015,9,188739,1611.0,74.8,643.0,188739.0,ADL-MEL
ADL,MEL,2015,10,207820,1657.0,80.9,643.0,207820.0,ADL-MEL
ADL,MEL,2015,11,199688,1580.0,82.6,643.0,199688.0,ADL-MEL
ADL,MEL,2015,12,198179,1620.0,79.1,643.0,198179.0,ADL-MEL
ADL,MEL,2016,1,187175,1587.0,76.0,643.0,187175.0,ADL-MEL
ADL,MEL,2016,2,186480,1572.0,77.0,643.0,186480.0,ADL-MEL
ADL,MEL,2016,3,208150,1663.0,80.7,643.0,208150.0,ADL-MEL
ADL,MEL,2016,4,206603,1578.0,82.8,643.0,206603.0,ADL-MEL
ADL,MEL,2016,5,200302,1571.0,80.2,643.0,200302.0,ADL-MEL
ADL,MEL,2016,6,182931,1504.0,77.3,643.0,182931.0,ADL-MEL
ADL,MEL,2016,7,215652,1698.0,80.3,643.0,215652.0,ADL-MEL
ADL,MEL,2016,8,189511,1668.0,72.7,643.0,189511.0,ADL-MEL
ADL,MEL,2016,9,195837,1654.0,76.2,643.0,195837.0,ADL-MEL
ADL,MEL,2016,10,211873,1669.0,82.6,643.0,211873.0,ADL-MEL
ADL,MEL,2016,11,206318,1615.0,82.3,643.0,206318.0,ADL-MEL
ADL,MEL,2016,12,203051,1595.0,80.3,643.0,203051.0,ADL-MEL
ADL,MEL,2017,1,197640,1549.0,80.6,643.0,197640.0,ADL-MEL
ADL,MEL,2017,2,182535,1488.0,78.9,643.0,182535.0,ADL-MEL
ADL,MEL,2017,3,214815,1649.0,82.0,643.0,214815.0,ADL-MEL
ADL,MEL,2017,4,202681,1561.0,81.0,643.0,202681.0,ADL-MEL
ADL,MEL,2017,5,198673,1582.0,80.1,643.0,198673.0,ADL-MEL
ADL,MEL,2017,6,194830,1553.0,78.3,643.0,194830.0,ADL-MEL
ADL,MEL,2017,7,216528,1625.0,82.8,643.0,216528.0,ADL-MEL
ADL,MEL,2017,8,195350,1587.0,76.3,643.0,195350.0,ADL-MEL
ADL,MEL,2017,9,201692,1608.0,77.9,643.0,201692.0,ADL-MEL
ADL,MEL,2017,10,221993,1651.0,84.3,643.0,221993.0,ADL-MEL
ADL,MEL,2017,11,213206,1619.0,82.0,643.0,213206.0,ADL-MEL
ADL,MEL,2017,12,216483,1655.0,80.9,643.0,216483.0,ADL-MEL
ADL,MEL,2018,1,200967,1595.0,78.6,643.0,200967.0,ADL-MEL
ADL,MEL,2018,2,191022,1523.0,78.4,643.0,191022.0,ADL-MEL
ADL,MEL,2018,3,221754,1688.0,80.6,643.0,221754.0,ADL-MEL
ADL,MEL,2018,4,215390,1583.0,83.7,643.0,215390.0,ADL-MEL
ADL,MEL,2018,5,200029,1567.0,79.3,643.0,200029.0,ADL-MEL
ADL,MEL,2018,6,192792,1511.0,78.7,643.0,192792.0,ADL-MEL
ADL,MEL,2018,7,217777,1667.0,80.5,643.0,217777.0,ADL-MEL
ADL,MEL,2018,8,206123,1590.0,81.2,643.0,206123.0,ADL-MEL
ADL,MEL,2018,9,201779,1569.0,79.9,643.0,201779.0,ADL-MEL
ADL,MEL,2018,10,221346,1650.0,83.1,643.0,221346.0,ADL-MEL
ADL,MEL,2018,11,219313,1587.0,85.0,643.0,219313.0,ADL-MEL
ADL,MEL,2018,12,209912,1526.0,83.0,643.0,209912.0,ADL-MEL
ADL,MEL,2019,1,199040,1546.0,77.7,643.0,199040.0,ADL-MEL
ADL,MEL,2019,2,200463,1513.0,80.6,643.0,200463.0,ADL-MEL
ADL,MEL,2019,3,227419,1678.0,82.1,643.0,227419.0,ADL-MEL
ADL,MEL,2019,4,215027,1588.0,81.7,643.0,215027.0,ADL-MEL
ADL,MEL,2019,5,199098,1601.0,76.3,643.0,199098.0,ADL-MEL
ADL,MEL,2019,6,189519,1512.0,76.1,643.0,189519.0,ADL-MEL
ADL,MEL,2019,7,222844,1645.0,82.8,643.0,222844.0,ADL-MEL
ADL,MEL,2019,8,212024,1571.0,82.2,643.0,212024.0,ADL-MEL
ADL,MEL,2019,9,210920,1588.0,81.0,643.0,210920.0,ADL-MEL
ADL,MEL,2019,10,232046,1659.0,85.8,643.0,232046.0,ADL-MEL
